company,contact_name,status,industry,address,city,state,zip,company_size,phone,products
Pixonyx,Lilias Adamolli,contract,Human Resources,7 Carey Court,Washington,DC,20430,233,202-783-1529,paper
Edgetag,Jerrine Sergeaunt,stale,Sales,68 West Street,Fort Worth,TX,76110,165,817-878-6151,ink
JumpXS,Maurie Errichi,stale,Human Resources,69847 Stang Crossing,Seattle,WA,98195,74,206-664-9042,paper
Jabberbean,Mercedes Coyish,re-engage,Support,9 Union Avenue,Colorado Springs,CO,80995,459,719-999-4098,toner
Ainyx,Abbi Glasscoo,closed,Services,09 Crest Line Plaza,Austin,TX,78764,190,512-174-3158,ink
Jayo,Donn Rozzier,contract,Marketing,744 Hanson Parkway,Milwaukee,WI,53215,422,414-770-2241,general office supplies
Buzzster,Gianna MacAlees,closed,Business Development,56973 Butterfield Parkway,San Bernardino,CA,92405,433,909-361-4428,toner
Youspan,Birgitta Durrant,closed,Accounting,9 Crownhardt Park,Phoenix,AZ,85040,25,480-174-2730,paper
Voonix,Brittney McOrkil,stale,Human Resources,652 Loeprich Alley,Columbus,OH,43204,60,614-422-9623,general office supplies
Jabbersphere,Caro Teodori,closed,Services,52 Hazelcrest Way,Kalamazoo,MI,49048,158,269-876-8744,toner
Kimia,Guss Corfield,re-engage,Sales,6 Arapahoe Trail,Provo,UT,84605,355,801-587-8556,paper
Yacero,Alex Gieraths,re-engage,Product Management,19 Elgar Place,Warren,MI,48092,142,810-104-2863,toner
Skilith,Delmer Beyn,stale,Services,8615 Shopko Junction,El Paso,TX,88525,480,915-918-4401,general office supplies
Wikibox,Renaldo Calyton,stale,Accounting,58758 Garrison Park,Raleigh,NC,27626,196,919-784-3701,paper
Mydeo,Chloris Roark,re-engage,Human Resources,3 Melvin Road,Houston,TX,77070,36,281-370-5191,general office supplies
Rhybox,Haydon MacGiolla,stale,Engineering,64390 Lakewood Center,Albuquerque,NM,87195,204,505-263-2156,ink
Youspan,Miquela O'Mohun,contract,Business Development,1 Gulseth Drive,New York City,NY,10150,329,212-524-8762,general office supplies
Flashset,Lesley Golby,re-engage,Business Development,0 Homewood Junction,Gainesville,FL,32610,101,352-240-2413,ink
Meezzy,Jacenta Peare,re-engage,Sales,8960 Village Way,Richmond,VA,23220,135,804-735-4033,general office supplies
Zava,Jewell Birt,re-engage,Legal,542 Village Lane,Dallas,TX,75251,390,214-329-5737,general office supplies
Vipe,Eartha Bodicum,stale,Engineering,26 Utah Avenue,Lincoln,NE,68517,419,402-666-8255,toner
Dabjam,Franzen Pemble,discovery,Services,3 La Follette Road,Tucson,AZ,85748,424,520-920-6410,toner
Twiyo,Jeremy Lorent,closed,Business Development,22075 Pepper Wood Center,Tucson,AZ,85715,77,520-322-7066,paper
Innojam,Arney Mapstone,contract,Legal,703 Granby Drive,Minneapolis,MN,55448,69,763-715-1005,general office supplies
Flipstorm,Oswell Stranger,closed,Marketing,78720 Autumn Leaf Circle,Newark,NJ,07112,468,973-789-4157,paper
Realmix,Eddy Filipovic,re-engage,Legal,37 Grover Circle,Boston,MA,02163,269,857-208-4854,toner
Mybuzz,Binny Alesin,discovery,Sales,63591 Maywood Street,Atlanta,GA,30316,3,678-679-5823,ink
Skyba,Vivyan Craise,stale,Engineering,1 Hintze Hill,Dallas,TX,75251,73,469-490-2180,toner
Skimia,Starlin Le Marchant,stale,Support,87 Graceland Parkway,Tucson,AZ,85710,354,520-650-4126,general office supplies
